,Name,Sequence Accession,Complete Genome,Segment,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name,Unnamed: 12,coords0,coords1,coords2
9049,HA,CY002208,Yes,4,1761,H3N2,2004-12-20,IRD:Human,USA,New York,04-05,A/New York/370/2004,,1.7432187795639038,-2.981586217880249,0.32325679063796997
9050,HA,CY002216,Yes,4,1761,H3N2,2004-12-09,IRD:Human,USA,New York,04-05,A/New York/371/2004,,1.6947827339172363,-2.6842153072357178,0.34097927808761597
9051,HA,CY002224,Yes,4,1761,H3N2,2004-12-22,IRD:Human,USA,New York,04-05,A/New York/372/2004,,1.7645001411437988,-2.8676345348358154,0.3544418215751648
9052,HA,CY002456,Yes,4,1761,H3N2,2005-02-22,IRD:Human,USA,New York,04-05,A/New York/373/2005,,1.2697415351867676,-2.824730634689331,0.4182226061820984
9053,HA,CY050820,Yes,4,1704,H3N2,2009-05-20,IRD:Human,USA,New York,-N/A-,A/New York/3738/2009,,1.5073797702789307,-1.3236486911773682,0.9378247857093811
9054,HA,CY002232,Yes,4,1761,H3N2,2004-12-27,IRD:Human,USA,New York,04-05,A/New York/374/2004,,1.7432187795639038,-2.981586217880249,0.32325679063796997
9055,HA,CY055099,Yes,4,1729,H3N2,2009-05-20,IRD:Human,USA,New York,08-09,A/New York/3743/2009(H3N2),,1.5788261890411377,-1.3364794254302979,0.9329209923744202
9056,HA,CY080450,No,4,1721,H3N2,2009-05-17,IRD:Human,USA,New York,08-09,A/New York/3745/2009,,1.9726991653442383,-1.678072214126587,0.8979516625404358
9057,HA,CY002240,No,4,1741,H3N2,2005-01-29,IRD:Human,USA,New York,04-05,A/New York/375/2005,,1.7645001411437988,-2.8676345348358154,0.3544418215751648
9058,HA,CY089629,Yes,4,1737,H3N2,2009-05-21,IRD:Human,USA,New York,-N/A-,A/New York/3750/2009,,1.5788261890411377,-1.3364794254302979,0.9329209923744202
9059,HA,CY050828,Yes,4,1717,H3N2,2009-06-01,IRD:Human,USA,New York,-N/A-,A/New York/3752/2009,,1.5788261890411377,-1.3364794254302979,0.9329209923744202
9060,HA,CY003048,No,4,1728,H3N2,2005-01-18,IRD:Human,USA,New York,04-05,A/New York/376/2005,,1.6972936391830444,-2.9180619716644287,0.334345281124115
9061,HA,CY002592,Yes,4,1762,H3N2,2004-12-20,IRD:Human,USA,New York,04-05,A/New York/377/2004,,1.6249679327011108,-2.808000326156616,0.2681964039802551
9062,HA,CY002016,Yes,4,1701,H3N2,2005-01-03,IRD:Human,USA,New York,04-05,A/New York/378/2005,,1.816988468170166,-2.219219923019409,0.1578189879655838
9063,HA,CY002024,No,4,1762,H3N2,2004-11-30,IRD:Human,USA,New York,04-05,A/New York/379/2004,,1.4820961952209473,-2.7480854988098145,0.1882839947938919
9064,HA,CY000777,Yes,4,1760,H3N2,2003-12-21,IRD:Human,USA,New York,03-04,A/New York/38/2003,,0.7942021489143372,-2.8918721675872803,0.27794355154037476
9065,HA,KF790236,No,4,1701,H3N2,2012-10-17,IRD:Human,USA,New York,12-13,A/New York/38/2012,,1.2868950366973877,-1.0759947299957275,2.1367273330688477
9066,HA,KF790282,No,4,1701,H3N2,2012-10-17,IRD:Human,USA,New York,12-13,A/New York/38/2012,,1.3764994144439697,-1.1536028385162354,2.2437572479248047
9067,HA,KT841052,Yes,4,1701,H3N2,2014-12-31,IRD:Human,USA,New York,14-15,A/New York/38/2014,,1.4707262516021729,0.32199040055274963,3.304499626159668
9068,HA,CY002600,No,4,1760,H3N2,2004-12-26,IRD:Human,USA,New York,04-05,A/New York/380/2004,,1.8333783149719238,-2.9345295429229736,0.5444441437721252
9069,HA,CY002248,Yes,4,1731,H3N2,2004-12-28,IRD:Human,USA,New York,04-05,A/New York/381/2004,,1.7432187795639038,-2.981586217880249,0.32325679063796997
9070,HA,CY002032,No,4,1760,H3N2,2005-01-29,IRD:Human,USA,New York,04-05,A/New York/382/2005,,1.2526278495788574,-2.6948773860931396,0.32181376218795776
9071,HA,CY002256,Yes,4,1733,H3N2,2004-12-29,IRD:Human,USA,New York,04-05,A/New York/383/2004,,1.8414177894592285,-2.944380521774292,0.35075587034225464
9072,HA,CY002464,Yes,4,1760,H3N2,2005-01-06,IRD:Human,USA,New York,04-05,A/New York/384/2005,,1.8414177894592285,-2.944380521774292,0.35075587034225464
9073,HA,CY002472,No,4,1709,H3N2,2004-12-28,IRD:Human,USA,New York,04-05,A/New York/385/2004,,1.77742338180542,-2.8242928981781006,0.37738198041915894
9074,HA,CY002040,Yes,4,1761,H3N2,2004-12-22,IRD:Human,USA,New York,04-05,A/New York/386/2004,,1.7645001411437988,-2.8676345348358154,0.3544418215751648
9075,HA,CY002048,Yes,4,1760,H3N2,2004-12-27,IRD:Human,USA,New York,04-05,A/New York/387/2004,,1.2526278495788574,-2.6948773860931396,0.32181376218795776
9076,HA,CY002264,No,4,1738,H3N2,2005-01-28,IRD:Human,USA,New York,04-05,A/New York/388/2005,,1.7287259101867676,-2.7477986812591553,0.2721630930900574
9077,HA,CY003344,No,4,1743,H3N2,2005-01-04,IRD:Human,USA,New York,04-05,A/New York/389/2005,,1.7432187795639038,-2.981586217880249,0.32325679063796997
9078,HA,CY058788,No,4,1717,H3N2,2009-06-04,IRD:Human,USA,New York,-N/A-,A/New York/3896/2009,,1.5788261890411377,-1.3364794254302979,0.9329209923744202
9079,HA,CY001096,Yes,4,1711,H3N2,2003-12-04,IRD:Human,USA,New York,03-04,A/New York/39/2003,,0.883843719959259,-3.1077373027801514,0.4652898907661438
9080,HA,KF790277,No,4,1701,H3N2,2012-10-20,IRD:Human,USA,New York,12-13,A/New York/39/2012,,1.309760332107544,-0.8854115009307861,2.635049819946289
9081,HA,KF790258,No,4,1701,H3N2,2012-10-20,IRD:Human,USA,New York,12-13,A/New York/39/2012,,1.3706209659576416,-0.8015120029449463,2.7032556533813477
9082,HA,KT841080,Yes,4,1701,H3N2,2014-12-31,IRD:Human,USA,New York,14-15,A/New York/39/2014,,1.2869608402252197,-0.5590158700942993,2.5426297187805176
9083,HA,CY002480,No,4,1712,H3N2,2005-01-05,IRD:Human,USA,New York,04-05,A/New York/390/2005,,1.7432187795639038,-2.981586217880249,0.32325679063796997
9084,HA,CY084401,Yes,4,1728,H3N2,2009-06-04,IRD:Human,USA,New York,-N/A-,A/New York/3904/2009,,1.61037278175354,-1.4266302585601807,1.0229250192642212
9085,HA,CY002056,Yes,4,1762,H3N2,2005-01-07,IRD:Human,USA,New York,04-05,A/New York/391/2005,,1.7042899131774902,-3.0418288707733154,0.6090465188026428
9086,HA,CY084409,Yes,4,1719,H3N2,2009-06-05,IRD:Human,USA,New York,-N/A-,A/New York/3918/2009,,1.4090347290039062,-1.189974069595337,0.7377728819847107
9087,HA,CY002064,Yes,4,1762,H3N2,2004-12-21,IRD:Human,USA,New York,04-05,A/New York/392/2004,,1.2697415351867676,-2.824730634689331,0.4182226061820984
9088,HA,CY002488,Yes,4,1741,H3N2,2005-03-23,IRD:Human,USA,New York,04-05,A/New York/393/2005,,1.7645001411437988,-2.8676345348358154,0.3544418215751648
9089,HA,CY080491,Yes,4,1729,H3N2,2009-06-04,IRD:Human,USA,New York,-N/A-,A/New York/3932/2009,,1.7927429676055908,-1.594444990158081,1.1537376642227173
9090,HA,CY002736,Yes,4,1741,H3N2,2005-01-04,IRD:Human,USA,New York,04-05,A/New York/394/2005,,1.7659220695495605,-2.602477788925171,0.20232506096363068
9091,HA,CY003056,Yes,4,1720,H3N2,2005-01-24,IRD:Human,USA,New York,04-05,A/New York/395/2005,,1.9035320281982422,-2.8439857959747314,0.44766396284103394
9092,HA,CY002072,Yes,4,1761,H3N2,2005-03-04,IRD:Human,USA,New York,04-05,A/New York/396/2005,,1.786074161529541,-2.9526641368865967,0.44906920194625854
9093,HA,CY000505,Yes,4,1760,H3N2,2003-12-08,IRD:Human,USA,New York,03-04,A/New York/4/2003,,0.8880581259727478,-3.4481618404388428,0.5193464159965515
9094,HA,CY012792,Yes,4,1721,H3N2,2006-03-22,IRD:Human,USA,New York,05-06,A/New York/4/2006,,1.9112677574157715,-2.5211551189422607,0.4467694163322449
9095,HA,CY000145,No,4,1760,H3N2,2003-12-04,IRD:Human,USA,New York,03-04,A/New York/40/2003,,1.027113437652588,-3.55029559135437,0.4904710650444031
9096,HA,KF790278,No,4,1701,H3N2,2012-10-16,IRD:Human,USA,New York,12-13,A/New York/40/2012,,2.8382198810577393,-0.7955620288848877,1.2458959817886353
9097,HA,KT840955,Yes,4,1701,H3N2,2014-12-29,IRD:Human,USA,New York,14-15,A/New York/40/2014,,1.4707262516021729,0.32199040055274963,3.304499626159668
9098,HA,CY003080,Yes,4,1737,H3N2,2001-11-21,IRD:Human,USA,New York,01-02,A/New York/401/2001,,0.3560773730278015,-3.768577814102173,-0.17316274344921112
9099,HA,CY084342,No,4,1701,H3N2,2009-06-11,IRD:Human,USA,New York,-N/A-,A/New York/4017/2009,,1.61037278175354,-1.4266302585601807,1.0229250192642212
9100,HA,CY003088,Yes,4,1760,H3N2,2001-12-27,IRD:Human,USA,New York,01-02,A/New York/402/2001,,0.31532686948776245,-3.7630550861358643,-0.2414882630109787
9101,HA,CY003096,Yes,4,1760,H3N2,2002-01-04,IRD:Human,USA,New York,01-02,A/New York/403/2002,,0.20746155083179474,-3.6060473918914795,-0.19834499061107635
9102,HA,CY003104,Yes,4,1761,H3N2,2002-01-05,IRD:Human,USA,New York,01-02,A/New York/404/2002,,0.3560773730278015,-3.768577814102173,-0.17316274344921112
9103,HA,CY003112,No,4,1750,H3N2,2002-01-07,IRD:Human,USA,New York,01-02,A/New York/405/2002,,0.3727371096611023,-3.890550374984741,-0.27152758836746216
9104,HA,CY003120,Yes,4,1762,H3N2,2002-01-08,IRD:Human,USA,New York,01-02,A/New York/406/2002,,0.31532686948776245,-3.7630550861358643,-0.2414882630109787
9105,HA,CY003424,Yes,4,1750,H3N2,2002-01-08,IRD:Human,USA,New York,01-02,A/New York/407/2002,,0.38299673795700073,-3.8425309658050537,-0.28974467515945435
9106,HA,CY003123,Yes,4,1762,H3N2,2002-01-11,IRD:Human,USA,New York,01-02,A/New York/408/2002,,0.3757316470146179,-3.8071401119232178,-0.3986662030220032
9107,HA,CY003136,Yes,4,1762,H3N2,2002-01-14,IRD:Human,USA,New York,01-02,A/New York/409/2002,,0.3189848065376282,-3.4432742595672607,-0.2492920607328415
9108,HA,CY000153,Yes,4,1760,H3N2,2003-12-08,IRD:Human,USA,New York,03-04,A/New York/41/2003,,1.027113437652588,-3.55029559135437,0.4904710650444031
9109,HA,CY003144,Yes,4,1761,H3N2,2002-01-15,IRD:Human,USA,New York,01-02,A/New York/410/2002,,0.3422471880912781,-3.837008237838745,-0.3580706715583801
9110,HA,CY003152,Yes,4,1749,H3N2,2002-01-22,IRD:Human,USA,New York,01-02,A/New York/411/2002,,0.49298781156539917,-3.7031819820404053,-0.2772420048713684
9111,HA,CY003160,Yes,4,1741,H3N2,2002-02-01,IRD:Human,USA,New York,01-02,A/New York/412/2002,,0.3870651125907898,-3.584642171859741,-0.18891696631908417
9112,HA,CY003168,Yes,4,1750,H3N2,2002-02-08,IRD:Human,USA,New York,01-02,A/New York/413/2002,,0.38299673795700073,-3.8425309658050537,-0.28974467515945435
9113,HA,CY003176,Yes,4,1751,H3N2,2002-02-12,IRD:Human,USA,New York,01-02,A/New York/414/2002,,0.3560773730278015,-3.768577814102173,-0.17316274344921112
9114,HA,CY003184,Yes,4,1737,H3N2,2002-02-22,IRD:Human,USA,New York,01-02,A/New York/415/2002,,0.20746155083179474,-3.6060473918914795,-0.19834499061107635
9115,HA,CY003192,Yes,4,1760,H3N2,2002-02-28,IRD:Human,USA,New York,01-02,A/New York/416/2002,,0.21579332649707794,-3.6460354328155518,-0.34466439485549927
9116,HA,CY193413,No,4,1701,H3N2,2014-12-08,IRD:Human,USA,New York,14-15,A/New York/4160/2014,,0.022043421864509583,-2.085446357727051,2.359227180480957
9117,HA,CY193414,No,4,1701,H3N2,2014-12-04,IRD:Human,USA,New York,14-15,A/New York/4161/2014,,0.022043421864509583,-2.085446357727051,2.359227180480957
9118,HA,CY193415,No,4,1701,H3N2,2014-12-05,IRD:Human,USA,New York,14-15,A/New York/4162/2014,,-0.13576583564281464,-1.545000672340393,2.213963508605957
9119,HA,CY193416,No,4,1701,H3N2,2014-12-08,IRD:Human,USA,New York,14-15,A/New York/4163/2014,,-0.07401733100414276,-1.9604164361953735,2.227444648742676
9120,HA,CY193417,No,4,1701,H3N2,2014-12-19,IRD:Human,USA,New York,14-15,A/New York/4164/2014,,-0.06852035224437714,-1.6604167222976685,2.3630971908569336
9121,HA,CY055091,Yes,4,1717,H3N2,2009-06-12,IRD:Human,USA,New York,08-09,A/New York/4165/2009(H3N2),,1.4516260623931885,-1.4304358959197998,0.9561372399330139
9122,HA,CY003200,Yes,4,1762,H3N2,2002-01-16,IRD:Human,USA,New York,01-02,A/New York/418/2002,,0.4049684405326843,-3.8019673824310303,-0.18633584678173065
9123,HA,CY003208,Yes,4,1737,H3N2,2002-01-18,IRD:Human,USA,New York,01-02,A/New York/419/2002,,0.317818820476532,-3.814012289047241,-0.3026579022407532
9124,HA,CY000161,Yes,4,1762,H3N2,2003-12-08,IRD:Human,USA,New York,03-04,A/New York/42/2003,,1.027113437652588,-3.55029559135437,0.4904710650444031
9125,HA,CY003777,Yes,4,1762,H3N2,2002-01-28,IRD:Human,USA,New York,01-02,A/New York/420/2002,,0.336713969707489,-3.711609125137329,-0.2665942311286926
9126,HA,CY058804,Yes,4,1729,H3N2,2009-05-24,IRD:Human,USA,New York,-N/A-,A/New York/4255/2009,,1.4352943897247314,-1.2178986072540283,0.8487325310707092
9127,HA,CY003809,No,4,1737,H3N2,2000-01-03,IRD:Human,USA,New York,99-00,A/New York/429/2000,,0.11872299015522003,-3.6760447025299072,-0.25080984830856323
9128,HA,CY000169,Yes,4,1760,H3N2,2003-12-10,IRD:Human,USA,New York,03-04,A/New York/43/2003,,1.027113437652588,-3.55029559135437,0.4904710650444031
9129,HA,KX416128,Yes,4,1737,H3N2,2016-02-29,IRD:Human,USA,New York,15-16,A/New York/43/2016,,-0.7746465802192688,-1.4398343563079834,2.7348923683166504
9130,HA,CY003448,Yes,4,1750,H3N2,2000-01-03,IRD:Human,USA,New York,99-00,A/New York/430/2000,,0.13964278995990753,-3.721824884414673,-0.18668429553508759
9131,HA,CY193558,No,4,1701,H3N2,2014-12-16,IRD:Human,USA,New York,14-15,A/New York/4305/2014,,-0.13576583564281464,-1.545000672340393,2.213963508605957
9132,HA,CY193559,No,4,1701,H3N2,2014-12-22,IRD:Human,USA,New York,14-15,A/New York/4306/2014,,-0.13576583564281464,-1.545000672340393,2.213963508605957
9133,HA,CY193560,No,4,1701,H3N2,2014-12-28,IRD:Human,USA,New York,14-15,A/New York/4307/2014,,0.022043421864509583,-2.085446357727051,2.359227180480957
9134,HA,CY193561,No,4,1701,H3N2,2014-12-23,IRD:Human,USA,New York,14-15,A/New York/4308/2014,,-0.13576583564281464,-1.545000672340393,2.213963508605957
9135,HA,CY193562,No,4,1701,H3N2,2014-12-24,IRD:Human,USA,New York,14-15,A/New York/4309/2014,,-0.06852035224437714,-1.6604167222976685,2.3630971908569336
9136,HA,CY003240,Yes,4,1750,H3N2,2000-01-03,IRD:Human,USA,New York,99-00,A/New York/431/2000,,0.11872299015522003,-3.6760447025299072,-0.25080984830856323
9137,HA,CY193563,No,4,1701,H3N2,2014-12-24,IRD:Human,USA,New York,14-15,A/New York/4310/2014,,-0.13576583564281464,-1.545000672340393,2.213963508605957
9138,HA,CY193564,No,4,1701,H3N2,2014-12-29,IRD:Human,USA,New York,14-15,A/New York/4311/2014,,-0.22552184760570526,-2.197627067565918,2.4193878173828125
9139,HA,CY003817,Yes,4,1737,H3N2,2000-01-05,IRD:Human,USA,New York,99-00,A/New York/432/2000,,0.05354507267475128,-3.6475260257720947,-0.26372307538986206
9140,HA,CY003248,Yes,4,1737,H3N2,2000-01-05,IRD:Human,USA,New York,99-00,A/New York/433/2000,,0.036708906292915344,-3.5395071506500244,-0.3619038462638855
9141,HA,CY003256,Yes,4,1761,H3N2,2000-01-09,IRD:Human,USA,New York,99-00,A/New York/434/2000,,0.0637856274843216,-3.6110966205596924,-0.30164259672164917
9142,HA,CY006659,Yes,4,1717,H3N2,2000-01-09,IRD:Human,USA,New York,99-00,A/New York/435/2000,,0.7749789357185364,-3.87164044380188,-0.33415716886520386
9143,HA,CY003264,Yes,4,1747,H3N2,2000-01-10,IRD:Human,USA,New York,99-00,A/New York/436/2000,,0.11872299015522003,-3.6760447025299072,-0.25080984830856323
9144,HA,CY084417,Yes,4,1723,H3N2,2009-06-23,IRD:Human,USA,New York,-N/A-,A/New York/4362/2009,,1.5788261890411377,-1.3364794254302979,0.9329209923744202
9145,HA,CY003272,Yes,4,1737,H3N2,2000-01-12,IRD:Human,USA,New York,99-00,A/New York/437/2000,,0.20242126286029816,-3.455772638320923,-0.344160258769989
9146,HA,CY003280,Yes,4,1737,H3N2,2000-01-18,IRD:Human,USA,New York,99-00,A/New York/438/2000,,0.11872299015522003,-3.6760447025299072,-0.25080984830856323
9147,HA,CY003456,Yes,4,1748,H3N2,2000-01-23,IRD:Human,USA,New York,99-00,A/New York/439/2000,,0.09524448215961456,-3.588926076889038,-0.2885052561759949
9148,HA,CY000177,Yes,4,1762,H3N2,2003-12-08,IRD:Human,USA,New York,03-04,A/New York/44/2003,,0.883843719959259,-3.1077373027801514,0.4652898907661438
9149,HA,CY003825,Yes,4,1748,H3N2,2000-01-24,IRD:Human,USA,New York,99-00,A/New York/440/2000,,0.14543922245502472,-3.2874720096588135,-0.2095901221036911
9150,HA,CY193700,No,4,1701,H3N2,2015-01-07,IRD:Human,USA,New York,14-15,A/New York/4447/2015,,1.1000511646270752,-0.5430203676223755,2.482394218444824
9151,HA,CY193701,No,4,1701,H3N2,2014-12-31,IRD:Human,USA,New York,14-15,A/New York/4448/2014,,-0.06852035224437714,-1.6604167222976685,2.3630971908569336
9152,HA,CY193702,No,4,1701,H3N2,2015-01-04,IRD:Human,USA,New York,14-15,A/New York/4449/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
9153,HA,CY193703,No,4,1701,H3N2,2015-01-06,IRD:Human,USA,New York,14-15,A/New York/4450/2015,,-0.013312146067619324,-1.9838210344314575,2.2134695053100586
9154,HA,CY193704,No,4,1701,H3N2,2015-01-06,IRD:Human,USA,New York,14-15,A/New York/4451/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
9155,HA,CY193705,No,4,1701,H3N2,2015-01-09,IRD:Human,USA,New York,14-15,A/New York/4452/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
9156,HA,CY193706,No,4,1701,H3N2,2015-01-09,IRD:Human,USA,New York,14-15,A/New York/4453/2015,,-0.025000378489494324,-1.991237759590149,2.227280616760254
9157,HA,CY193707,No,4,1701,H3N2,2015-01-10,IRD:Human,USA,New York,14-15,A/New York/4454/2015,,0.9120637774467468,-0.4075189530849457,2.2441015243530273
9158,HA,CY193708,No,4,1701,H3N2,2015-01-11,IRD:Human,USA,New York,14-15,A/New York/4455/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
9159,HA,CY193709,No,4,1701,H3N2,2015-01-12,IRD:Human,USA,New York,14-15,A/New York/4456/2015,,-0.1817062348127365,-1.6423293352127075,2.285597801208496
9160,HA,CY000065,Yes,4,1762,H3N2,2003-12-09,IRD:Human,USA,New York,03-04,A/New York/45/2003,,1.027113437652588,-3.55029559135437,0.4904710650444031
9161,HA,CY193799,No,4,1701,H3N2,2015-01-14,IRD:Human,USA,New York,14-15,A/New York/4546/2015,,-0.06022624671459198,-2.195450782775879,2.037504196166992
9162,HA,CY193800,No,4,1701,H3N2,2015-01-14,IRD:Human,USA,New York,14-15,A/New York/4547/2015,,-0.331529438495636,-1.4100276231765747,2.1705384254455566
9163,HA,CY193801,No,4,1701,H3N2,2015-01-15,IRD:Human,USA,New York,14-15,A/New York/4548/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
9164,HA,CY193802,No,4,1701,H3N2,2015-01-16,IRD:Human,USA,New York,14-15,A/New York/4549/2015,,-0.13576583564281464,-1.545000672340393,2.213963508605957
9165,HA,CY193803,No,4,1701,H3N2,2015-01-19,IRD:Human,USA,New York,14-15,A/New York/4550/2015,,0.9120637774467468,-0.4075189530849457,2.2441015243530273
9166,HA,CY193804,No,4,1701,H3N2,2015-01-20,IRD:Human,USA,New York,14-15,A/New York/4551/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
9167,HA,CY193805,No,4,1701,H3N2,2015-01-20,IRD:Human,USA,New York,14-15,A/New York/4552/2015,,-0.023649021983146667,-2.053884506225586,2.3492422103881836
9168,HA,CY193806,No,4,1701,H3N2,2015-02-04,IRD:Human,USA,New York,14-15,A/New York/4553/2015,,0.06453342735767365,-1.7552176713943481,2.601555824279785
9169,HA,CY193807,No,4,1701,H3N2,2015-02-04,IRD:Human,USA,New York,14-15,A/New York/4554/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
9170,HA,CY000785,Yes,4,1741,H3N2,2003-12-09,IRD:Human,USA,New York,03-04,A/New York/46/2003,,0.7061884999275208,-2.772597074508667,0.17467065155506134
9171,HA,CY006076,Yes,4,1762,H3N2,2005-02-02,IRD:Human,USA,New York,04-05,A/New York/461/2005,,1.7938599586486816,-3.012058973312378,0.46472328901290894
9172,HA,CY006291,Yes,4,1761,H3N2,2005-02-08,IRD:Human,USA,New York,04-05,A/New York/462/2005,,1.5775189399719238,-2.7271335124969482,0.4550759196281433
9173,HA,CY003640,Yes,4,1762,H3N2,2005-02-09,IRD:Human,USA,New York,04-05,A/New York/463/2005,,1.7438994646072388,-2.651784896850586,0.4470013976097107
9174,HA,CY003648,Yes,4,1760,H3N2,2005-03-07,IRD:Human,USA,New York,04-05,A/New York/464/2005,,1.77742338180542,-2.8242928981781006,0.37738198041915894
9175,HA,CY006084,Yes,4,1762,H3N2,2005-03-08,IRD:Human,USA,New York,04-05,A/New York/465/2005,,1.6249679327011108,-2.808000326156616,0.2681964039802551
9176,HA,CY006371,Yes,4,1760,H3N2,2004-11-27,IRD:Human,USA,New York,04-05,A/New York/466/2004,,1.6361050605773926,-2.7328102588653564,0.4114028811454773
9177,HA,CY006379,Yes,4,1747,H3N2,2004-09-17,IRD:Human,USA,New York,-N/A-,A/New York/467/2004,,1.786074161529541,-2.9526641368865967,0.44906920194625854
9178,HA,CY003656,Yes,4,1737,H3N2,2004-09-17,IRD:Human,USA,New York,-N/A-,A/New York/468/2004,,1.786074161529541,-2.9526641368865967,0.44906920194625854
9179,HA,CY193933,No,4,1701,H3N2,2014-12-24,IRD:Human,USA,New York,14-15,A/New York/4680/2014,,-0.13576583564281464,-1.545000672340393,2.213963508605957
9180,HA,CY193934,No,4,1701,H3N2,2014-12-30,IRD:Human,USA,New York,14-15,A/New York/4681/2014,,0.022043421864509583,-2.085446357727051,2.359227180480957
9181,HA,CY193935,No,4,1701,H3N2,2015-01-21,IRD:Human,USA,New York,14-15,A/New York/4682/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
9182,HA,CY193936,No,4,1701,H3N2,2015-01-21,IRD:Human,USA,New York,14-15,A/New York/4683/2015,,-0.0278499573469162,-2.042201042175293,2.2763524055480957
9183,HA,CY193937,No,4,1701,H3N2,2015-01-26,IRD:Human,USA,New York,14-15,A/New York/4684/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
9184,HA,CY193938,No,4,1701,H3N2,2015-01-28,IRD:Human,USA,New York,14-15,A/New York/4685/2015,,0.9120637774467468,-0.4075189530849457,2.2441015243530273
9185,HA,CY193939,No,4,1701,H3N2,2015-01-29,IRD:Human,USA,New York,14-15,A/New York/4686/2015,,-0.10782031714916229,-1.7965871095657349,2.374547004699707
9186,HA,CY193940,No,4,1701,H3N2,2015-01-30,IRD:Human,USA,New York,14-15,A/New York/4687/2015,,-0.1572912186384201,-1.8305035829544067,2.245327949523926
9187,HA,CY006179,No,4,1748,H3N2,2004-09-20,IRD:Human,USA,New York,-N/A-,A/New York/469/2004,,1.786074161529541,-2.9526641368865967,0.44906920194625854
9188,HA,CY193943,No,4,1701,H3N2,2015-01-28,IRD:Human,USA,New York,14-15,A/New York/4690/2015,,0.0032894164323806763,-1.5724130868911743,2.112659454345703
9189,HA,CY000073,Yes,4,1760,H3N2,2003-12-12,IRD:Human,USA,New York,03-04,A/New York/47/2003,,0.888472855091095,-2.973996877670288,0.34085267782211304
9190,HA,KF789822,No,4,1701,H3N2,2012-11-20,IRD:Human,USA,New York,12-13,A/New York/47/2012,,1.3471415042877197,-0.7143938541412354,2.665560722351074
9191,HA,CY006092,Yes,4,1727,H3N2,2004-09-27,IRD:Human,USA,New York,-N/A-,A/New York/470/2004,,1.2112373113632202,-2.3936927318573,0.5446484684944153
9192,HA,CY003664,Yes,4,1747,H3N2,2004-11-08,IRD:Human,USA,New York,04-05,A/New York/471/2004,,1.786074161529541,-2.9526641368865967,0.44906920194625854
9193,HA,CY008164,Yes,4,1747,H3N2,2004-09-27,IRD:Human,USA,New York,-N/A-,A/New York/472/2004,,1.786074161529541,-2.9526641368865967,0.44906920194625854
9194,HA,CY008868,No,4,1720,H3N2,2003-11-24,IRD:Human,USA,New York,03-04,A/New York/473/2003,,1.0936970710754395,-3.4979798793792725,0.547462522983551
9195,HA,CY008876,No,4,1721,H3N2,2003-12-31,IRD:Human,USA,New York,03-04,A/New York/474/2003,,0.8289856314659119,-3.341369390487671,0.48436373472213745
9196,HA,CY008884,Yes,4,1721,H3N2,2003-12-08,IRD:Human,USA,New York,03-04,A/New York/475/2003,,1.027113437652588,-3.55029559135437,0.4904710650444031
9197,HA,CY008892,No,4,1721,H3N2,2003-12-15,IRD:Human,USA,New York,03-04,A/New York/476/2003,,1.027113437652588,-3.55029559135437,0.4904710650444031
9198,HA,CY009244,No,4,1721,H3N2,2003-11-19,IRD:Human,USA,New York,03-04,A/New York/477/2003,,1.027113437652588,-3.55029559135437,0.4904710650444031
9199,HA,CY008900,No,4,1721,H3N2,2003-11-21,IRD:Human,USA,New York,03-04,A/New York/478/2003,,0.8289856314659119,-3.341369390487671,0.48436373472213745
9200,HA,CY008916,No,4,1721,H3N2,2003-11-12,IRD:Human,USA,New York,03-04,A/New York/479/2003,,0.8239888548851013,-3.0006625652313232,0.2430684119462967
9201,HA,CY000081,Yes,4,1760,H3N2,2003-12-09,IRD:Human,USA,New York,03-04,A/New York/48/2003,,0.937398374080658,-3.216439962387085,0.2157876044511795
9202,HA,CY009252,No,4,1721,H3N2,2004-01-12,IRD:Human,USA,New York,03-04,A/New York/480/2004,,1.027113437652588,-3.55029559135437,0.4904710650444031
9203,HA,CY194064,No,4,1701,H3N2,2015-02-26,IRD:Human,USA,New York,14-15,A/New York/4811/2015,,-0.2387578934431076,-1.4420191049575806,2.1288633346557617
9204,HA,CY194065,No,4,1701,H3N2,2015-03-02,IRD:Human,USA,New York,14-15,A/New York/4812/2015,,0.022043421864509583,-2.085446357727051,2.359227180480957
9205,HA,CY194066,No,4,1701,H3N2,2015-03-23,IRD:Human,USA,New York,14-15,A/New York/4813/2015,,-0.03805331885814667,-1.9532643556594849,2.2979273796081543
9206,HA,CY194067,No,4,1701,H3N2,2015-03-19,IRD:Human,USA,New York,14-15,A/New York/4814/2015,,0.031086161732673645,-1.6181975603103638,2.2291574478149414
9207,HA,CY194068,No,4,1701,H3N2,2015-03-19,IRD:Human,USA,New York,14-15,A/New York/4815/2015,,-0.06212787330150604,-1.8281489610671997,2.3845319747924805
